id,question_stem,choices,answerKey,subject_area,difficulty,reasoning
10-768,"If the Earth revolved around another planet instead of a star, what might it lack?","{'text': ['continents', 'satellites', 'starry skies', 'seasons'], 'label': ['A', 'B', 'C', 'D']}",D,astronomy,3,"The question requires the user to understand the relationship between a planet's orbit around a star and the resulting seasons, connecting the orbital mechanics with climatic patterns."
1388,You can see further from which of these locations on the moon?,"{'text': ['mountains', 'crater', 'buildings', 'surface'], 'label': ['A', 'B', 'C', 'D']}",A,astronomy,1,The question asks for a basic recall of the fact that higher elevation (like mountains) allows for a greater horizon distance due to the curvature of the moon.
10-683,Squirrels can often be seen storing acorns during the,"{'text': ['summer', 'spring', 'fall', 'winter'], 'label': ['A', 'B', 'C', 'D']}",C,biology,1,The question asks for a basic recall of a common biological behavior of squirrels regarding food storage and seasonal timing.
14-1509,An organism that can survive without the help of other cells is,"{'text': [""Brewer's yeast"", 'air', 'sand', 'sugar'], 'label': ['A', 'B', 'C', 'D']}",A,biology,1,"The question asks for the identification of an organism from a list of options, which is a basic recall of biological facts."
13-286,some animals remove their hair coverings for,"{'text': ['naptime', 'lunchtime', 'mating season', 'scorching climates'], 'label': ['A', 'B', 'C', 'D']}",D,biology,1,The question asks for a basic recall of biological facts regarding animal adaptation to climate.
1873,Which animal sometimes needs to move quickly for food?,"{'text': ['coyote', 'horse', 'deer', 'buffalo'], 'label': ['A', 'B', 'C', 'D']}",A,biology,1,"The question asks for a basic identification of a predator animal's behavior related to food procurement, requiring simple recall of animal characteristics."
10-218,A person who wants to eat a watermelon may consider spitting out its,"{'text': ['dark pips', 'good taste', 'coco pebbles', 'red fruit'], 'label': ['A', 'B', 'C', 'D']}",A,other,1,"The question is a basic reading comprehension or general knowledge question about eating a watermelon, not fitting into a specific science subject area."
11-187,"A person loves spring, and it has just passed by. They will enjoy it again the next time","{'text': ['the stars go out', 'most irises begins budding', 'a week goes by', 'the days grow shorter'], 'label': ['A', 'B', 'C', 'D']}",B,earth_science,2,"The question relates to seasonal cycles, which is a core part of earth science. It requires a simple application of the knowledge that spring is followed by other seasons and returns in a yearly cycle, specifically linked to biological markers like budding irises."
10-368,Flora requires chlorophyll to,"{'text': ['moonlight', 'undergo natural development', 'starlight', 'dairy'], 'label': ['A', 'B', 'C', 'D']}",B,biology,1,"The question asks for the basic function/requirement of chlorophyll in plants, which is a fundamental fact in biology."
7-24,A smack on a wooden board can be heard a mile away,"{'text': ['because sound travels through oxygen', 'because of how sound works', 'because vibration can move', 'because sound vibrates through atmosphere'], 'label': ['A', 'B', 'C', 'D']}",D,physics,2,"The question asks about the mechanism of sound propagation, which is a fundamental physics concept involving vibrations and mediums."
7-829,"If a wolf is unable to catch prey reliably, the wolf will","{'text': ['show ribs', 'hunt more', 'have pups', 'take naps'], 'label': ['A', 'B', 'C', 'D']}",A,biology,2,The question asks for the application of basic biological concepts regarding animal nutrition and the physical signs of malnutrition (showing ribs) as a result of unsuccessful hunting.
11-30,Which would reach the other side of a room the fastest?,"{'text': [""the world's fastest bird"", ""the world's fastest sprinter"", 'the light from a flashlight', 'an extremely loud audio signal'], 'label': ['A', 'B', 'C', 'D']}",C,physics,2,"The question asks to compare the speeds of light, sound, and biological entities, requiring basic knowledge of the relative speeds of these phenomena."
11-486,A glass item will do this when power is fed to it.,"{'text': ['shirk', 'illuminate', 'shrink', 'die'], 'label': ['A', 'B', 'C', 'D']}",B,physics,1,"The question asks for the effect of electrical power on a glass item (likely a light bulb), which is a basic recall of a physical phenomenon."
647,What harmful phenomenon can cause atmospheric warming?,"{'text': ['gasses with pollution', 'acid rain', 'nuclear war', 'melting ice caps'], 'label': ['A', 'B', 'C', 'D']}",A,earth_science,1,"The question asks for a basic identification of a cause of atmospheric warming, which is a foundational concept in earth science and requires simple recall of the greenhouse effect (gasses with pollution/greenhouse gases)."
7-749,"An example of a chemical change is acid breaking down substances, another is","{'text': ['flour added to salt', 'milk added to water', 'corn added to soup', 'lemon juice added to milk'], 'label': ['A', 'B', 'C', 'D']}",D,chemistry,2,"The question asks to identify a chemical change among given options, requiring the basic knowledge of the difference between physical and chemical changes and applying it to simple examples."
12-204,Needing to use an umbrella could be the result of,"{'text': ['altercation', 'precipitation', 'condensation', 'evaporation'], 'label': ['A', 'B', 'C', 'D']}",B,earth_science,1,"The question asks for the term that describes rain or snow, which is a basic recall of the term 'precipitation' in the context of weather/earth science."
13-256,Force causes the speed of an object to do what?,"{'text': ['lessen', 'uptick', 'decrease', 'lower'], 'label': ['A', 'B', 'C', 'D']}",B,physics,1,"The question asks for a basic understanding of the relationship between force and motion, specifically how force affects the speed of an object, which is a fundamental concept in physics."
12-1166,which of these eventually form crude oil after millions of years in the earth?,"{'text': ['a plastic set of cups', 'a family of dogs', 'a twelve pack of beer cans', 'a set of silverware'], 'label': ['A', 'B', 'C', 'D']}",B,earth_science,1,"The question asks for the basic knowledge of the origin of crude oil, which is a recall of a single fact regarding organic matter decomposition over geological time."
10-1153,An amoeba is a unique individual that,"{'text': ['makes friends', 'has multiple uses', 'works together', 'exists solitary'], 'label': ['A', 'B', 'C', 'D']}",D,biology,1,"The question asks for a basic characteristic of an amoeba, which is a basic biological fact."
14-646,"Laser anemometers help manufacturers of cars, airplanes and spacecraft to produce efficient vehicle designs that","{'text': ['increase the gas mileage of the vehicles', 'increase the drag from air moving past them', 'decrease exhaust fumes from the vehicles', 'reduce resistance from air moving past them'], 'label': ['A', 'B', 'C', 'D']}",D,physics,2,"The question asks about the concept of aerodynamic drag and air resistance, which are fundamental topics in fluid dynamics within physics. The difficulty is rated as 2 because it requires recalling the definition of drag and applying it to the goal of vehicle design efficiency."
7-1023,"Leaving coconut oil out on a counter, as the day grows hotter, what happens to the oil?","{'text': ['changes from solid to wet', 'it hardens up a lot', 'it begins to rot', 'it needs to be refrigerated'], 'label': ['A', 'B', 'C', 'D']}",A,chemistry,2,"The question asks about the phase change of coconut oil (melting) due to temperature increase, which is a fundamental concept in chemistry/physics, but specifically deals with the chemical properties of fats."
14-1100,sugar dissolves in what when they are combined?,"{'text': ['dirt', 'ocean liquid', 'honey', 'air'], 'label': ['A', 'B', 'C', 'D']}",B,chemistry,1,"The question asks about the basic property of solubility, specifically identifying a substance (water/ocean liquid) in which sugar dissolves, which is a fundamental chemistry concept and requires simple recall."
9-48,In southern Africa we are more likely to see snow in,"{'text': ['January', 'November', 'March', 'July'], 'label': ['A', 'B', 'C', 'D']}",D,earth_science,1,"The question asks for the basic recall of the seasonal weather patterns in the Southern Hemisphere, identifying July as the winter month."
11-628,A year can pass in the time it takes,"{'text': ['our globe to circle a heat source', 'to heat up a hot pocket', 'to take off your shoes', 'to wash the dirty dishes'], 'label': ['A', 'B', 'C', 'D']}",A,astronomy,1,"The question asks for the definition of a year, which is the time it takes for Earth to orbit the Sun, a basic astronomical fact."
1580,What has a positive impact on body strength?,"{'text': ['frequent physical contact', 'irregular body motion', 'decreased physical effort', 'active physical effort'], 'label': ['A', 'B', 'C', 'D']}",D,biology,1,"The question asks for a basic understanding of how physical activity impacts body strength, which is a fundamental concept in human biology and health."
13-291,Which of the following provides the best reason for squirrels vacating their forest?,"{'text': ['The forest is overrun with chipmunks', 'The forest is being harvested for lumber', 'Many acorns can be found on the forest floor', 'They want to start a new life'], 'label': ['A', 'B', 'C', 'D']}",B,biology,2,"The question asks about animal behavior and habitat loss, which falls under biology. It requires basic knowledge of ecological factors that would cause animals to leave an area, applying it to the specific scenario of squirrels."
13-407,Which of the following would have best aided a vessel at sea in crossing the sea in the 18th century?,"{'text': ['A radar system', 'An old soothsayer', 'An experienced navigator', ""A crow's nest""], 'label': ['A', 'B', 'C', 'D']}",C,other,2,"The question asks about historical maritime navigation, which does not fit into the primary science categories provided. It requires basic knowledge of 18th-century technology (radar did not exist) and the role of a navigator."
13-914,More sunlight will be absorbed by,"{'text': ['a plant with curled leaves', 'a tree with wide, smooth leaves', 'a rose with tiny leaves', 'a berry bush with thin, short leaves'], 'label': ['A', 'B', 'C', 'D']}",B,biology,2,"The question asks about the efficiency of sunlight absorption based on leaf morphology, which is a basic application of the concept of surface area in photosynthesis."
9-344,"When a person gets hurt physically, the person feels pain because there are","{'text': ['magic receptors', 'electric reactions', 'making nervous', 'loud nerves'], 'label': ['A', 'B', 'C', 'D']}",B,biology,1,"The question asks for the basic physiological mechanism of feeling pain, which is a simple recall of how the nervous system works."
9-945,what does a barometer do to air pressure,"{'text': ['state its tightness', 'store it', 'disperse it', 'condense it further'], 'label': ['A', 'B', 'C', 'D']}",A,earth_science,1,"The question asks for the basic function of a barometer, which is a tool used to measure atmospheric pressure. This is a fundamental concept in earth science/meteorology."
13-1054,An plant that requires lots of watering would do better in,"{'text': [""craters on Earth's moon"", 'a sandy, barren desert', 'a lush elm-filled area', 'a large expanse of frozen tundra'], 'label': ['A', 'B', 'C', 'D']}",C,biology,1,"The question asks for the most suitable environment for a plant requiring high water levels, which is a basic knowledge check of plant needs and habitat characteristics."
9-291,Where might you find eggs?,"{'text': ['forest', 'space', 'lava', 'ocean'], 'label': ['A', 'B', 'C', 'D']}",A,biology,1,"The question asks for a basic location where biological entities (eggs) are found, requiring simple recall of common knowledge."
14-283,"In an auction, how might a seller avoid too much of a loss?","{'text': ['buyer beware', 'Auction Block', 'Sealed Bid', 'setting a reserve'], 'label': ['A', 'B', 'C', 'D']}",D,other,1,"The question relates to economics/business (auctions), which does not fit into the natural science categories provided, and it requires basic recall of the definition of a reserve price."
14-186,matter in the liquid phase has what shape?,"{'text': ['circle', 'adaptable', 'triangle', 'square'], 'label': ['A', 'B', 'C', 'D']}",B,chemistry,1,"The question asks for a basic definition/property of the liquid state of matter, requiring only simple recall."
13-461,Which would least likely help someone with bad vision?,"{'text': ['a magnifying glass', 'sungazing', 'binoculars', 'a telescope'], 'label': ['A', 'B', 'C', 'D']}",B,physics,2,"The question asks about tools used for vision correction or magnification (optics), which is a branch of physics, and requires applying the basic knowledge of how these tools work to identify the one that is harmful or ineffective."
11-226,Which would result in the most dangerous driving experience?,"{'text': ['light rain', 'low speed', 'distant thunder', 'heavy fog'], 'label': ['A', 'B', 'C', 'D']}",D,other,2,"The question asks about driving safety based on weather conditions, which is more of a general knowledge or safety topic than a a core science subject. It requires recalling the effect of visibility and road conditions on driving safety."
12-271,"Skills are learned characteristics. To get better at doing something, you must stretch yourself in ways that","{'text': ['may be very uncomfortable at first', 'take very little time', 'are without learning from others and past experiences', 'are without goals and commitment'], 'label': ['A', 'B', 'C', 'D']}",A,other,2,"The question relates to skill acquisition and personal development, which does not fall under the natural sciences. It requires basic application of the concept of learning and effort."
11-55,A viscous liquid found underground can be made to create something that,"{'text': ['feeds your dog', 'foretells the future', 'tastes like milk', 'makes cars move'], 'label': ['A', 'B', 'C', 'D']}",D,earth_science,1,"The question refers to crude oil (a viscous liquid found underground), which is a used to create gasoline/fuel for cars. This is basic knowledge of natural resources."
14-349,If you place a piece of paper on a hot object it will leave a,"{'text': ['damp spot', 'a curl', 'some ice', 'a singe mark'], 'label': ['A', 'B', 'C', 'D']}",D,physics,1,"The question asks for the basic effect of heat transfer from a hot object to paper, which is a simple recall of a common physical observation."
9-954,A locations climate is what in the area?,"{'text': ['Common forecast', 'water tide', 'rare storms', 'earthquakes'], 'label': ['A', 'B', 'C', 'D']}",A,earth_science,1,"The question asks for the definition of climate, which is a basic recall of a fundamental Earth Science concept."
1115,What is safest to breathe around?,"{'text': ['coal plant', 'Union Carbide plant', 'windmill', 'automobile'], 'label': ['A', 'B', 'C', 'D']}",C,earth_science,1,"The question asks for the basic knowledge of which energy source/facility produces the least amount of air pollution, which falls under environmental science/earth science."
12-474,Which of the following statements is true,"{'text': ['biofuel releases CO2 but is better than oil', 'biofuel is without flaws', 'biofuel can single-handedly end CO2 production', 'biofuel is perfect for the environment'], 'label': ['A', 'B', 'C', 'D']}",A,earth_science,1,"The question asks for a basic understanding of biofuels and their environmental impact, which is a fundamental concept in earth science and environmental studies. It requires basic recall of the fact that biofuels release CO2 but are generally considered a more sustainable alternative to fossil fuels."
14-780,In the food chain process fungi have the role of what?,"{'text': ['putrefiers', 'builders', 'creators', 'consumers'], 'label': ['A', 'B', 'C', 'D']}",A,biology,1,"The question asks for the basic definition of the role of fungi in a food chain, which is a simple recall of a biological fact."
14-717,The people who live after you will appreciate it if you take your glass bottles and,"{'text': ['throw them', 'break them', 'reuse them', 'shatter them'], 'label': ['A', 'B', 'C', 'D']}",C,other,1,"The question tests basic vocabulary and common sense regarding environmental sustainability, rather than a specific scientific concept."
12-335,How many revolutions does the moon make around the Earth during spring?,"{'text': ['twelve', 'three', 'one', 'six'], 'label': ['A', 'B', 'C', 'D']}",B,astronomy,2,The question requires recalling the orbital period of the moon and applying it to the duration of a season (approximately 3 months).
12-891,Which would an ecologically minded individual most support?,"{'text': ['oil', 'gas', 'fracking', 'windmills'], 'label': ['A', 'B', 'C', 'D']}",D,earth_science,2,"The question asks for the most environmentally friendly energy source among the options, requiring basic knowledge of energy sources and their ecological impact."
12-166,"a person bought a reptile at a store and it laid some eggs once they got home, why is this?","{'text': ['it is a mammal', 'it is under pressure', 'it is offering egg gifts', 'it is incapable of live birth'], 'label': ['A', 'B', 'C', 'D']}",D,biology,2,"The question requires identifying that reptiles lay eggs (oviparous) as a biological trait, applying this general knowledge to a specific scenario."
288,Where is the sun at noon,"{'text': ['straight above your head', 'off 20 degrees to the southwest', 'near the western horizon', 'on the other side of the earth'], 'label': ['A', 'B', 'C', 'D']}",A,astronomy,1,"The question asks for the basic factual knowledge of the sun's position at noon, which is a simple recall task."
10-553,"A person takes a bucket full of water and adds it to a full pool. After adding fifty buckets of water to the pool, it","{'text': ['drains', 'dries', 'bloats', 'sinks'], 'label': ['A', 'B', 'C', 'D']}",C,other,1,"The question is a logic riddle or a basic reading comprehension task rather than a scientific concept, as a full pool cannot take more water without overflowing."
13-925,How should John proceed with eating the fish he just caught?,"{'text': ['biting right into it raw', 'hold the fish up the sunlight', 'putting his boot on a fire spit', 'striking flint over kindling and placing the fish above it'], 'label': ['A', 'B', 'C', 'D']}",D,other,1,"The question asks about a practical survival skill rather than a core scientific principle, making it a 'other' subject area. The difficulty is 1 as it is a basic common sense or survival knowledge question."
8-221,speed is a measure of how fast all these move but,"{'text': ['a person waiting', 'a fish swimming', 'a dog running', 'a bird flying'], 'label': ['A', 'B', 'C', 'D']}",A,physics,1,"The question asks for an identification of movement, which is a basic application of the concept of speed, a fundamental physics concept."
10-555,You can find what on the crust of earth,"{'text': ['clouds', 'stars', 'air', 'worms'], 'label': ['A', 'B', 'C', 'D']}",D,earth_science,1,"The question asks for a basic identification of what is found on the Earth's crust, requiring simple recall of common knowledge."
7-700,It changes from winter to spring because of a,"{'text': ['moon', 'cloud', 'star', 'sky'], 'label': ['A', 'B', 'C', 'D']}",C,earth_science,1,"The question asks for the basic cause of seasonal change, which is a fundamental concept in earth science and requires simple recall of astonomical/geographical facts."
13-985,Skittles left in snow become,"{'text': ['hot', 'mushy', 'hard', 'soft'], 'label': ['A', 'B', 'C', 'D']}",C,physics,1,"The question asks for the basic physical state change of a candy when exposed to cold temperatures, which is a basic observation of thermal effects on matter."
13-28,Which of these are required for a mother cat to have the same whisker length as her daughter?,"{'text': ['rock music', 'jeans', 'magic', 'genes'], 'label': ['A', 'B', 'C', 'D']}",D,biology,1,"The question asks for the biological requirement for inherited traits (whisker length) from parent to offspring, which is a basic recall of the concept of genes."
9-403,Sound can travel through the,"{'text': ['planet', 'sun', 'body', 'sky'], 'label': ['A', 'B', 'C', 'D']}",D,physics,1,"The question asks for basic recall of the medium through which sound travels, which is a fundamental concept in physics."
12-794,Which would one most likely run into when crossing a stream?,"{'text': ['a fire', 'a piranha', 'a painful death', 'a scorpion'], 'label': ['A', 'B', 'C', 'D']}",B,biology,1,"The question asks to identify a creature typically found in a stream, which falls under biology/zoology, and requires basic recall of animal habitats."
852,"When the game console's power cable was attached to the wall, electricity ended up in","{'text': ['the plug', 'the power cable', 'the wall', 'the game console'], 'label': ['A', 'B', 'C', 'D']}",D,physics,2,"The question asks about the flow of electricity from a power source to a device, which is a basic application of electrical circuit concepts."
13-137,"If a thing is going to shock you, you could block the shock best with","{'text': ['a log cabin', 'a metal plane', 'an aluminium cup', 'a tin can'], 'label': ['A', 'B', 'C', 'D']}",A,physics,2,"The question asks about electrical conductivity and insulation. A log cabin (wood) is an insulator, while the other options are metals (conductors). This requires recalling the fact that wood is an insulator and applying it to the situation of blocking an electric shock."
1111,What contains seeds,"{'text': ['human.', 'whole pumpkin', 'soda can', 'leaf'], 'label': ['A', 'B', 'C', 'D']}",B,biology,1,"The question asks for basic identification of a plant part (seeds) and which object contains them, requiring simple recall of a basic biological fact."
14-927,In the 60's people watched on TV while for the first time people walked on,"{'text': ['a high rooftop in a major city', 'a satellite without much air in our solar system', 'the edge of a cliff in the mountains', 'a beach in Brazil'], 'label': ['A', 'B', 'C', 'D']}",B,astronomy,1,"The question refers to the first moon landing, which is a basic recall of a historical fact related to astronomy/space exploration."
10-731,By hiding from creatures who crave the taste of their sweet flesh,"{'text': ['mice will be able to free Aslan', 'some mice are able to have offspring', 'predator missiles can hunt their target', 'a field of mice can die of disease'], 'label': ['A', 'B', 'C', 'D']}",B,other,4,"The question is a reading comprehension or literary analysis task based on a narrative context (likely 'The Chronicles of Narnia'), not a scientific subject. It requires multi-step reasoning to determine which completion logically follows the premise of avoiding predators."
14-1335,"If you had a hammer, you would find ____ nails made of ____","{'text': ['wood; wood', 'iron; wood', 'wood; iron', 'iron; iron'], 'label': ['A', 'B', 'C', 'D']}",D,other,1,"The question is a simple logic or general knowledge puzzle about common materials and tools, not fitting into a specific scientific subject area."
14-270,Magma is sourced in volcanoes and,"{'text': ['is high enough kelvin to melt steel', 'on the desert plains', 'is beneath the aliens', 'can freeze water at all times'], 'label': ['A', 'B', 'C', 'D']}",A,earth_science,1,"The question asks for a basic fact about magma, which is a fundamental topic in earth science. The choices provided are mostly nonsensical, making the basic recall of the fact that magma is hot enough to melt steel the only plausible answer."
890,Earth's magnetic patterns are helpful,"{'text': ['to birds building a nest', 'to lions roaming the Sahara', 'to birds looking a warmer locale', 'to whales trying to find a mate'], 'label': ['A', 'B', 'C', 'D']}",C,earth_science,1,"The question asks about the utility of Earth's magnetic patterns, which is a fundamental concept in earth science, and requires basic recall of the fact that some animals use magnetoreception for migration."
8-432,"if a student locates their pen on the table across the room, which of these happened?","{'text': ['there was light from pen to cornea', 'the pen failed to reflect any light', 'none of these', 'the person has psychic powers'], 'label': ['A', 'B', 'C', 'D']}",A,physics,2,"The question tests the basic application of the physics concept of light reflection and vision, requiring the student to identify that light must travel from the object to the eye for it to be seen."
9-667,A a switch turns something with batteies on because:,"{'text': ['electrons are then disturbed', 'a piece of metal closes the circuit', 'it lets the acid free', 'the circuit is opened'], 'label': ['A', 'B', 'C', 'D']}",B,physics,1,"The question asks for a basic understanding of how a switch works in an electrical circuit, which is a fundamental concept in physics/electricity."
7-78,Droughts can cause,"{'text': ['parched grass', 'lush lawns', 'overflowing ponds', 'blooming flowers'], 'label': ['A', 'B', 'C', 'D']}",A,earth_science,1,"The question asks for the direct effect of a drought, which is a basic recall of a factual definition of drought and its common environmental impact."
558,"as dryness increases in an environment, biodiversity","{'text': ['increases', 'decreases', 'stays the same', 'begins'], 'label': ['A', 'B', 'C', 'D']}",B,biology,1,"The question asks for a basic understanding of the relationship between water availability (dryness) and biodiversity, which is a fundamental concept in ecology."
