question_id,concept_1,concept_2,concept_3
14-186,States of Matter,Properties of Liquids,Fluidity
13-461,Optical Lenses,Retinal Damage,Visual Aids
11-226,Visibility,Light Scattering,Risk Assessment in Transport
12-271,Growth Mindset,Comfort Zone,Skill Acquisition
11-55,Fossil Fuels,Fractional Distillation,Internal Combustion Engine
14-349,Thermal Energy Transfer,Combustion and Pyrolysis,Phase Transitions
9-954,Climate,Weather,Atmospheric Science
1115,Air Pollution,Combustion,Renewable Energy Sources
12-474,Carbon Cycle,Combustion,Renewable Energy Sources
14-780,Trophic Levels,Decomposition,Saprotrophic Nutrition
14-717,Sustainability,Waste Management,Resource Conservation
12-335,Earth's Orbital Cycle,Lunar Orbital Period,Temporal Calculation
12-891,Environmental Sustainability,Renewable vs. Non-renewable Energy,Greenhouse Gas Emissions
12-166,Animal Classification,Oviparity,Reproductive Strategies
288,Earth's Rotation,Solar Noon,Apparent Motion of the Sun
10-553,Volume and Capacity,Properties of Liquids,Displacement
13-925,Foodborne Pathogens,Thermal Denaturation,Combustion
8-221,Speed,Motion,Relative Rest
10-555,Earth's Crust,Atmosphere,Celestial Bodies
7-700,Celestial Bodies,Solar Energy,Earth's Orbit
13-985,Thermal Energy Transfer,Freezing Point,Physical Properties of Matter
13-28,Heredity,Genes,Phenotype
9-403,Mechanical Waves,Medium of Propagation,Composition of Matter
12-794,Freshwater Ecosystems,Habitat Suitability,Aquatic Organisms
852,Electric Circuit,Electrical Conductivity,Power Source and Load
13-137,Electrical Conductivity,Electrical Insulators,Material Properties of Metals vs. Non-metals
1111,Plant Anatomy,Seed Function,Biological Classification
14-927,Apollo 11 Moon Landing,Natural Satellites,Atmospheric Composition
10-731,Predation,Survival Rate,Reproductive Success
14-1335,Material Properties,Metal Alloys and Elements,Tool-Object Interaction
14-270,Composition and Properties of Magma,Thermal Energy and State Changes,Temperature Scales
890,Earth's Magnetic Field,Magnetoreception,Animal Migration
8-432,Reflection of Light,Light Propagation,Ocular Anatomy
9-667,Electric Circuits,Open and Closed Circuits,Electrical Conductivity
7-78,Drought,Plant Water Requirements,Vegetation Health Indicators
558,Biodiversity,Limiting Factors,Environmental Tolerance
12-216,Electromagnetic Spectrum (Visible Light),Incandescent Lighting,History of Technological Innovation
1046,Inverse Square Law,Light Intensity,Relative Motion
